"film_id","actor_id","first_name","title","rental_rate","actor_count","rank"
933,40,"Johnny","Vampire Whale","4.99","1","1"
989,37,"Val","Working Microcosmos","4.99","1","1"
412,193,"Burt","Heavyweights Beast","4.99","1","1"
144,180,"Jeff","Chinatown Gladiator","4.99","1","1"
853,189,"Cuba","Stranger Strangers","4.99","1","1"
403,138,"Lucille","Harry Idaho","4.99","1","1"
219,32,"Tim","Deep Crusade","4.99","1","1"
768,93,"Ellen","Scarface Bang","4.99","1","1"
763,63,"Cameron","Satisfaction Confidential","4.99","1","1"
159,179,"Ed","Closer Bang","4.99","1","1"
768,46,"Parker","Scarface Bang","4.99","1","1"
769,197,"Reese","School Jacket","4.99","1","1"
843,84,"James","Steel Santa","4.99","1","1"
88,21,"Kirsten","Born Spinal","4.99","1","1"
731,146,"Albert","Right Cranes","4.99","1","1"
853,59,"Dustin","Stranger Strangers","4.99","1","1"
263,124,"Scarlett","Durham Panky","4.99","1","1"
120,93,"Ellen","Caribbean Liberty","4.99","1","1"
144,19,"Bob","Chinatown Gladiator","4.99","1","1"
369,126,"Frances","Goodfellas Salute","4.99","1","1"
512,99,"Jim","League Hellfighters","4.99","1","1"
98,111,"Cameron","Bright Encounters","4.99","1","1"
779,100,"Spencer","Sense Greek","4.99","1","1"
244,34,"Audrey","Dorado Notting","4.99","1","1"
405,72,"Sean","Haunted Antitrust","4.99","1","1"
485,37,"Val","Jersey Sassy","4.99","1","1"
859,176,"Jon","Sugar Wonka","4.99","1","1"
969,146,"Albert","West Lion","4.99","1","1"
214,136,"Ed","Daughter Madigan","4.99","1","1"
686,92,"Kirsten","Pluto Oleander","4.99","1","1"
144,72,"Sean","Chinatown Gladiator","4.99","1","1"
336,34,"Audrey","French Holiday","4.99","1","1"
307,53,"Mena","Fellowship Autumn","4.99","1","1"
124,102,"Walter","Casper Dragonfly","4.99","1","1"
973,111,"Cameron","Wife Turn","4.99","1","1"
543,74,"Milla","Madigan Dorado","4.99","1","1"
421,165,"Al","Holiday Games","4.99","1","1"
439,175,"William","Hunchback Impossible","4.99","1","1"
637,31,"Sissy","Open African","4.99","1","1"
950,160,"Chris","Volume House","4.99","1","1"
338,121,"Liza","Frisco Forrest","4.99","1","1"
100,125,"Albert","Brooklyn Desert","4.99","1","1"
919,14,"Vivien","Tycoon Gathering","4.99","1","1"
904,26,"Rip","Train Bunch","4.99","1","1"
878,143,"River","Teen Apollo","4.99","1","1"
321,21,"Kirsten","Flash Wars","4.99","1","1"
865,5,"Johnny","Sunrise League","4.99","1","1"
785,155,"Ian","Shawshank Bubble","4.99","1","1"
251,76,"Angelina","Dragonfly Strangers","4.99","1","1"
350,108,"Warren","Garden Island","4.99","1","1"
350,66,"Mary","Garden Island","4.99","1","1"
765,98,"Chris","Saturn Name","4.99","1","1"
973,185,"Michael","Wife Turn","4.99","1","1"
706,143,"River","Queen Luke","4.99","1","1"
456,16,"Fred","Inch Jet","4.99","1","1"
683,125,"Albert","Pity Bound","4.99","1","1"
588,198,"Mary","Model Fish","4.99","1","1"
321,2,"Nick","Flash Wars","4.99","1","1"
278,190,"Audrey","Elf Murder","4.99","1","1"
470,192,"John","Ishtar Rocketeer","4.99","1","1"
217,152,"Ben","Dazed Punk","4.99","1","1"
973,47,"Julia","Wife Turn","4.99","1","1"
216,85,"Minnie","Day Unfaithful","4.99","1","1"
277,115,"Harrison","Elephant Trojan","4.99","1","1"
662,92,"Kirsten","Paths Control","4.99","1","1"
179,25,"Kevin","Conquerer Nuts","4.99","1","1"
310,17,"Helen","Fever Empire","4.99","1","1"
771,60,"Henry","Scorpion Apollo","4.99","1","1"
229,92,"Kirsten","Devil Desire","4.99","1","1"
670,47,"Julia","Pelican Comforts","4.99","1","1"
603,55,"Fay","Movie Shakespeare","4.99","1","1"
294,95,"Daryl","Expecations Natural","4.99","1","1"
65,95,"Daryl","Behavior Runaway","4.99","1","1"
312,144,"Angela","Fiddler Lost","4.99","1","1"
661,172,"Groucho","Past Suicides","4.99","1","1"
915,134,"Gene","Truman Crazy","4.99","1","1"
844,156,"Fay","Steers Armageddon","4.99","1","1"
596,175,"William","Moonshine Cabin","4.99","1","1"
893,86,"Greg","Titans Jerk","4.99","1","1"
103,92,"Kirsten","Bucket Brotherhood","4.99","1","1"
798,131,"Jane","Silverado Goldfinger","4.99","1","1"
706,87,"Spencer","Queen Luke","4.99","1","1"
289,188,"Rock","Eve Resurrection","4.99","1","1"
7,133,"Richard","Airplane Sierra","4.99","1","1"
84,199,"Julia","Boiled Dares","4.99","1","1"
904,27,"Julia","Train Bunch","4.99","1","1"
892,139,"Ewan","Titanic Boondock","4.99","1","1"
971,3,"Ed","Whale Bikini","4.99","1","1"
893,82,"Woody","Titans Jerk","4.99","1","1"
145,199,"Julia","Chisum Behavior","4.99","1","1"
532,11,"Zero","Loser Hustler","4.99","1","1"
144,57,"Jude","Chinatown Gladiator","4.99","1","1"
21,26,"Rip","American Circus","4.99","1","1"
320,131,"Jane","Flamingos Connecticut","4.99","1","1"
46,59,"Dustin","Autumn Crow","4.99","1","1"
775,191,"Gregory","Seattle Expecations","4.99","1","1"
183,98,"Chris","Conversation Downhill","4.99","1","1"
827,191,"Gregory","Spice Sorority","4.99","1","1"
117,74,"Milla","Candles Grapes","4.99","1","1"
347,68,"Rip","Games Bowfinger","4.99","1","1"
929,10,"Christian","Usual Untouchables","4.99","1","1"
500,17,"Helen","Kiss Glory","4.99","1","1"
915,66,"Mary","Truman Crazy","4.99","1","1"
889,46,"Parker","Ties Hunger","4.99","1","1"
565,73,"Gary","Matrix Snowman","4.99","1","1"
141,121,"Liza","Chicago North","4.99","1","1"
591,44,"Nick","Monsoon Cause","4.99","1","1"
312,48,"Frances","Fiddler Lost","4.99","1","1"
133,29,"Alec","Chamber Italian","4.99","1","1"
755,97,"Meg","Sabrina Midnight","4.99","1","1"
100,172,"Groucho","Brooklyn Desert","4.99","1","1"
48,109,"Sylvester","Backlash Undefeated","4.99","1","1"
300,66,"Mary","Falcon Volume","4.99","1","1"
460,58,"Christian","Innocent Usual","4.99","1","1"
222,75,"Burt","Desert Poseidon","4.99","1","1"
202,70,"Michelle","Daddy Pittsburgh","4.99","1","1"
347,27,"Julia","Games Bowfinger","4.99","1","1"
