"country","country_count","total_payment","rental_id","inventory_id","return_date","customer_id"
"Zambia","30","121.70",23,4441,"2005-05-29 06:34:21",438
"Zambia","30","121.70",1036,2164,"2005-06-04 04:19:10",438
"Zambia","30","121.70",1138,3944,"2005-06-05 21:42:27",438
"Zambia","30","121.70",1431,3193,"2005-06-21 17:33:29",438
"Zambia","30","121.70",1779,1044,"2005-06-17 20:11:11",438
"Zambia","30","121.70",2206,3651,"2005-06-24 23:20:45",438
"Zambia","30","121.70",2591,4481,"2005-06-25 23:42:22",438
"Zambia","30","121.70",3315,4108,"2005-06-24 11:04:04",438
"Zambia","30","121.70",3368,548,"2005-06-23 11:13:38",438
"Zambia","30","121.70",4355,4557,"2005-07-09 00:55:19",438
"Zambia","30","121.70",4446,2629,"2005-07-13 19:42:16",438
"Zambia","30","121.70",5316,3856,"2005-07-11 15:20:42",438
"Zambia","30","121.70",5426,251,"2005-07-17 00:55:47",438
"Zambia","30","121.70",5870,1524,"2005-07-12 15:39:25",438
"Zambia","30","121.70",6138,1808,"2005-07-13 10:30:04",438
"Zambia","30","121.70",6563,87,"2005-07-21 07:37:09",438
"Zambia","30","121.70",6615,23,"2005-07-20 09:03:22",438
"Zambia","30","121.70",7357,1917,"2005-08-02 18:07:31",438
"Zambia","30","121.70",7374,3184,"2005-08-05 13:09:57",438
"Zambia","30","121.70",7598,4545,"2005-07-29 23:35:01",438
"Zambia","30","121.70",8547,875,"2005-08-03 12:50:15",438
"Zambia","30","121.70",9082,4042,"2005-08-06 09:26:22",438
"Zambia","30","121.70",9782,2397,"2005-08-06 16:11:26",438
"Zambia","30","121.70",10512,3294,"2005-08-09 06:52:19",438
"Zambia","30","121.70",10607,3999,"2005-08-02 16:39:43",438
"Zambia","30","121.70",11644,1760,"2005-08-24 08:49:46",438
"Zambia","30","121.70",11933,2574,"2005-08-22 14:31:20",438
"Zambia","30","121.70",12524,857,NULL,438
"Zambia","30","121.70",12654,2217,"2005-08-20 17:51:40",438
"Zambia","30","121.70",13319,2496,"2005-08-27 17:59:13",438
"Zambia","30","121.70",13414,4126,"2005-08-21 02:50:34",438
"Zambia","30","121.70",14582,1004,"2005-08-29 18:04:33",438
"Zambia","30","121.70",15893,2571,"2005-08-30 12:45:00",438
"Yugoslavia","28","130.72",46,3318,"2005-06-02 08:18:08",7
"Yugoslavia","28","130.72",117,4278,"2005-05-31 23:59:46",7
"Yugoslavia","28","130.72",748,2803,"2005-06-03 04:25:00",7
"Yugoslavia","23","102.77",789,708,"2005-06-06 18:15:07",553
"Yugoslavia","28","130.72",975,3109,"2005-06-03 01:48:15",7
"Yugoslavia","28","130.72",1063,2484,"2005-06-09 08:00:29",7
"Yugoslavia","28","130.72",1810,2368,"2005-06-21 21:24:00",7
