"category_id","category_name","film_count","total_amount"
15,"Sports","1081","4892.19"
14,"Sci-Fi","998","4336.01"
2,"Animation","1065","4245.31"
7,"Drama","953","4118.46"
5,"Comedy","851","4002.48"
13,"New","864","3966.38"
1,"Action","1013","3951.84"
9,"Foreign","953","3934.47"
10,"Games","884","3922.18"
8,"Family","988","3830.15"
6,"Documentary","937","3749.65"
11,"Horror","773","3401.27"
4,"Classics","860","3353.38"
3,"Children","861","3309.39"
16,"Travel","765","3227.36"
12,"Music","750","3071.52"
