"film_id","title","category_name","description","rental_duration","duration"
37,"Arizona Bang","Classics","A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery",3,"4.9850000000000000"
205,"Dances None","Action","A Insightful Reflection of a A Shark And a Dog who must Kill a Butler in An Abandoned Amusement Park",3,"4.9850000000000000"
414,"Hellfighters Sierra","Foreign","A Taut Reflection of a A Shark And a Dentist who must Battle a Boat in Soviet Georgia",3,"4.9850000000000000"
409,"Heartbreakers Bright","Children","A Awe-Inspiring Documentary of a A Shark And a Dentist who must Outrace a Pastry Chef in The Canadian Rockies",3,"4.9850000000000000"
402,"Harper Dying","Animation","A Awe-Inspiring Reflection of a Woman And a Cat who must Confront a Feminist in The Sahara Desert",3,"4.9850000000000000"
389,"Gunfighter Mussolini","Sports","A Touching Saga of a Robot And a Boy who must Kill a Man in Ancient Japan",3,"4.9850000000000000"
210,"Darko Dorado","Action","A Stunning Reflection of a Frisbee And a Husband who must Redeem a Dog in New Orleans",3,"4.9850000000000000"
386,"Gump Date","Travel","A Intrepid Yarn of a Explorer And a Student who must Kill a Husband in An Abandoned Mine Shaft",3,"4.9850000000000000"
382,"Grit Clockwork","Games","A Thoughtful Display of a Dentist And a Squirrel who must Confront a Lumberjack in A Shark Tank",3,"4.9850000000000000"
904,"Train Bunch","Horror","A Thrilling Character Study of a Robot And a Squirrel who must Face a Dog in Ancient India",3,"4.9850000000000000"
214,"Daughter Madigan","Children","A Beautiful Tale of a Hunter And a Mad Scientist who must Confront a Squirrel in The First Manned Space Station",3,"4.9850000000000000"
901,"Tracy Cider","Animation","A Touching Reflection of a Database Administrator And a Madman who must Build a Lumberjack in Nigeria",3,"4.9850000000000000"
216,"Day Unfaithful","New","A Stunning Documentary of a Composer And a Mad Scientist who must Find a Technical Writer in A U-Boat",3,"4.9850000000000000"
374,"Graffiti Love","Sci-Fi","A Unbelieveable Epistle of a Sumo Wrestler And a Hunter who must Build a Composer in Berlin",3,"4.9850000000000000"
366,"Goldfinger Sensibility","Drama","A Insightful Drama of a Mad Scientist And a Hunter who must Defeat a Pastry Chef in New Orleans",3,"4.9850000000000000"
364,"Godfather Diary","New","A Stunning Saga of a Lumberjack And a Squirrel who must Chase a Car in The Outback",3,"4.9850000000000000"
363,"Go Purple","Music","A Fast-Paced Display of a Car And a Database Administrator who must Battle a Woman in A Baloon",3,"4.9850000000000000"
